dataset,K,k,G,g_param,W,base_iadu_hpfr,base_iadu_time,sampling_hpfr,sampling_diff_pct,biased_sampling_hpfr,biased_sampling_diff_pct,stratified_sampling_hpfr,stratified_sampling_diff_pct
dbpedia_1994_FIFA_World_Cup_squads,200,20,16,1,10.0,700.0640421759401,0.06884193420410156,464.48364154037375,-33.6513,211.4751620781007,-69.792,0.0,-100.0
dbpedia_1994_FIFA_World_Cup_squads,200,20,16,0.5,5.0,1819.8554050122075,0.06763195991516113,1686.1202809595586,-7.3487,1751.5955222269356,-3.7508,0.0,-100.0
dbpedia_1994_FIFA_World_Cup_squads,200,20,16,0.65,6.5,1390.6007657866846,0.06891489028930664,1321.5195087292204,-4.9677,1069.9167013949934,-23.0608,0.0,-100.0
dbpedia_1994_FIFA_World_Cup_squads,200,20,16,0.75,7.5,1147.1443947344812,0.06841301918029785,1132.353201611488,-1.2894,1102.2202805461686,-3.9162,0.0,-100.0
dbpedia_1994_FIFA_World_Cup_squads,500,20,16,1,25.0,1834.482873049483,0.4118220806121826,1266.0531396260162,-30.9858,1499.581523630704,-18.2559,0.0,-100.0
dbpedia_1994_FIFA_World_Cup_squads,500,20,16,0.5,12.5,4583.639900592982,0.41034960746765137,4496.326117999217,-1.9049,4503.093190514129,-1.7573,0.0,-100.0
dbpedia_1994_FIFA_World_Cup_squads,500,20,16,0.65,16.25,3597.6802210958,0.4102010726928711,3548.8920886075393,-1.3561,2939.419960867832,-18.2968,0.0,-100.0
dbpedia_1994_FIFA_World_Cup_squads,500,20,16,0.75,18.75,2990.4553246653395,0.41084885597229004,2941.013108561833,-1.6533,3049.41850688899,1.9717,0.0,-100.0
dbpedia_1994_FIFA_World_Cup_squads,500,15,16,1,33.3333,1439.6556266838443,0.4864647388458252,1011.1361941071607,-29.7654,1242.4682244708279,-13.6968,0.0,-100.0
dbpedia_1994_FIFA_World_Cup_squads,500,15,16,0.5,16.6667,3518.9005702031163,0.4853525161743164,3330.956394682601,-5.341,3327.848632776668,-5.4293,0.0,-100.0
dbpedia_1994_FIFA_World_Cup_squads,500,15,16,0.65,21.6667,2778.425345244863,0.48385119438171387,2526.0909906412467,-9.0819,2687.656876140906,-3.2669,0.0,-100.0
dbpedia_1994_FIFA_World_Cup_squads,500,15,16,0.75,25.0,2342.774697354143,0.4897749423980713,2247.277367396125,-4.0762,2243.3948216719064,-4.242,0.0,-100.0
AVERAGE_TOTAL,,,,,,,,,-10.9518,,-13.6244,,-100.0
